Exposure,nSNP,OR(95%CI),P,OR,Low,High
HMGCR,7,"0.24(0.01,7.08)",0.408,0.24,0.01,7.08
NPC1L1,3,"0.10(0.00,21.49)",0.398,0.1,0.01,21.49
PCSK9,8,"31.18(2.57,378.49)",0.007,31.18,2.57,378.49
APOB,7,"0.88(0.13,6.09)",0.894,0.88,0.13,6.09
ABCG5/ABCG8,4,"2.34(0.00,410488.09)",0.89,2.34,0.01,410488.09
LDLR,7,"1.58(0.10,25.95)",0.749,1.58,0.1,25.95
